STATE/UT,YEAR,TOTAL IPC CRIMES
SIKKIM,2013,851
TAMIL NADU,2013,203579
TRIPURA,2013,6210
UTTAR PRADESH,2013,226445
UTTARAKHAND,2013,9546
WEST BENGAL,2013,169535
A & N ISLANDS,2013,612
CHANDIGARH,2013,4077
D & N HAVELI,2013,314
DAMAN & DIU,2013,246
LAKSHADWEEP,2013,40
PUDUCHERRY,2013,3756
ANDHRA PRADESH,2014,114604
ARUNACHAL PRADESH,2014,2843
ASSAM,2014,94337
BIHAR,2014,177595
CHHATTISGARH,2014,58200
GOA,2014,4466
GUJARAT,2014,131385
HARYANA,2014,79947
HIMACHAL PRADESH,2014,14160
JAMMU & KASHMIR,2014,23848
JHARKHAND,2014,45335
KARNATAKA,2014,137338
KERALA,2014,206789
MADHYA PRADESH,2014,272423
MAHARASHTRA,2014,249834
MANIPUR,2014,3641
MEGHALAYA,2014,3679
MIZORAM,2014,2140
NAGALAND,2014,1157
ODISHA,2014,74569
PUNJAB,2014,37162
RAJASTHAN,2014,210418
SIKKIM,2014,1065
TAMIL NADU,2014,193200
TELANGANA,2014,106830
TRIPURA,2014,5499
UTTAR PRADESH,2014,240475
UTTARAKHAND,2014,9156
WEST BENGAL,2014,193048
A & N ISLANDS,2014,746
CHANDIGARH,2014,3221
D & N HAVELI,2014,277
DAMAN & DIU,2014,233
LAKSHADWEEP,2014,81
PUDUCHERRY,2014,3584
